address,chain,first_seen,last_seen,total_trades,total_sells,winning_sells,losing_sells,win_rate,avg_profit,avg_hold_duration,score,in_whitelist,is_whale
0x517010837a37676782d152302fd09e40bc10e9ff,ethereum,2026-08-08T05:11:13.557099,2026-08-08T11:49:28.557383,4,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xbf75a862f1d1e0f23e88d8420170dcfe8595f895,ethereum,2026-08-08T05:11:15.026183,2026-08-08T14:05:46.201693,5,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x1ce1f63b584b87d0f3706bfbb2be881270859f0b,ethereum,2026-08-08T05:11:15.075704,2026-08-08T14:05:46.292776,5,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xd584239989584444089e8e2943d8c48479b55346,ethereum,2026-08-08T05:11:15.127842,2026-08-08T14:05:46.352372,5,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x6b75d8af000000e20b7a7ddf000ba900b4009a80,ethereum,2026-08-08T05:11:15.177102,2026-08-08T14:05:46.422398,5,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xc35dec0a0180ded238d90d969c00692c9cccdfcb,ethereum,2026-08-08T15:56:25.584244,2026-08-09T21:05:18.617947,7,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x812ba41e071c7b7fa4ebcfb62df5f45f6fa853ee,ethereum,2026-08-08T15:56:25.835284,2026-08-09T21:05:18.712086,7,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0xc555d55279023e732ccd32d812114caf5838fd46,ethereum,2026-08-08T15:56:25.896595,2026-08-09T21:05:18.811115,7,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x1aac888c78c35e9a93210c9be0c7822acdcb235e,ethereum,2026-08-08T15:56:26.065793,2026-08-09T21:05:18.907849,7,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
0x05cd0a286482ed0ab28a9a3581d72b3cab506fcb,ethereum,2026-08-09T05:30:10.979214,2026-08-11T11:55:54.028760,10,0,0,0,0.0,0.0,0.0,0.0,FALSE,FALSE
